"date"	"m30_density"
2015-09-30	5898410
2015-10-01	9035461
2015-10-02	7562074
2015-10-03	5766387
2015-10-04	5009815
2015-10-05	7004785
2015-10-06	7414158
2015-10-07	7643408
2015-10-08	7697891
2015-10-09	7646741
2015-10-10	5302756
2015-10-11	4466412
2015-10-12	4549709
2015-10-13	7499069
2015-10-14	7737080
2015-10-15	7857909
2015-10-16	8067943
2015-10-17	5982077
2015-10-18	5061659
2015-10-19	7562000
2015-10-20	7900358
2015-10-21	8227741
2015-10-22	8418250
2015-10-23	9978839
2015-10-24	6121715
2015-10-25	5338223
2015-10-26	6748804
2015-10-27	8303351
2015-10-28	9221695
2015-10-29	9705914
2015-10-30	8645190
2015-10-31	6323451
2015-11-01	5567334
2015-11-02	8477944
2015-11-03	7368293
2015-11-04	9187662
2015-11-05	9154056
2015-11-06	9179810
2015-11-07	6417426
2015-11-08	5674257
2015-11-09	5729806
2015-11-10	8816255
2015-11-11	8927191
2015-11-12	8759321
2015-11-13	8879334
2015-11-14	6471602
2015-11-15	5836313
2015-11-16	8484541
2015-11-17	8393234
2015-11-18	9084168
2015-11-19	8982986
2015-11-20	9038944
2015-11-21	6489738
2015-11-22	5946910
2015-11-23	8562652
2015-11-24	8866085
2015-11-25	8913133
2015-11-26	8969625
2015-11-27	9172231
2015-11-28	6933857
2015-11-29	6169446
2015-11-30	8663515
2015-12-01	8828791
2015-12-02	8851882
2015-12-03	8912208
2015-12-04	8789901
2015-12-05	5986308
2015-12-06	5322452
2015-12-07	7315390
2015-12-08	5353823
2015-12-09	8971546
2015-12-10	8990728
2015-12-11	9238308
2015-12-12	7030649
2015-12-13	6259191
2015-12-14	8135280
2015-12-15	9166431
2015-12-16	9257669
2015-12-17	9357182
2015-12-18	9466247
2015-12-19	7441979
2015-12-20	6720574
2015-12-21	9178523
2015-12-22	9164185
2015-12-23	9000623
2015-12-24	6702779
2015-12-25	5365756
2015-12-26	5436552
2015-12-27	5392169
2015-12-28	7687987
2015-12-29	8018672
2015-12-30	8235040
2015-12-31	6316520
2016-01-01	4987025
2016-01-02	5445322
2016-01-03	5222197
2016-01-04	7953722
2016-01-05	7638488
2016-01-06	5774300
2016-01-07	8202275
2016-01-08	7967570
2016-01-09	6364001
2016-01-10	5482754
2016-01-11	8571371
2016-01-12	8831576
2016-01-13	8910210
2016-01-14	8946986
2016-01-15	8928906
2016-01-16	6551672
2016-01-17	5795672
2016-01-18	8767681
2016-01-19	8890457
2016-01-20	9012326
2016-01-21	9049992
2016-01-22	9053593
2016-01-23	6614292
2016-01-24	6114087
2016-01-25	8762262
2016-01-26	8824960
2016-01-27	8973743
2016-01-28	7728718
2016-01-29	8950150
2016-01-30	6583257
2016-01-31	5900348
2016-02-01	8759315
2016-02-02	8907479
2016-02-03	8834938
2016-02-04	9034223
2016-02-05	9158457
2016-02-06	5742263
2016-02-07	5688459
2016-02-08	8704026
2016-02-09	8882077
2016-02-10	9052600
2016-02-11	9033267
2016-02-12	9021148
2016-02-13	6578040
2016-02-14	5729940
2016-02-15	8820226
2016-02-16	9043590
2016-02-17	9073128
2016-02-18	9033982
2016-02-19	9178956
2016-02-20	6739355
2016-02-21	6072062
2016-02-22	8838952
2016-02-23	9097356
2016-02-24	9144876
2016-02-25	9277609
2016-02-26	9028132
2016-02-27	6569564
2016-02-28	5831904
2016-02-29	8867812
2016-03-01	8983448
2016-03-02	9181163
2016-03-03	8987504
2016-03-04	9249496
2016-03-05	6828475
2016-03-06	6015898
2016-03-07	8767717
2016-03-08	9065157
2016-03-09	9137895
2016-03-10	8504589
2016-03-11	9269908
2016-03-12	7134244
2016-03-13	6320215
2016-03-14	8909954
2016-03-15	9106098
2016-03-16	9148846
2016-03-17	9367100
2016-03-18	8986249
2016-03-19	6201457
2016-03-20	5294354
2016-03-21	8986249
2016-03-22	8986249
2016-03-23	3987647
